Date,Close_Price,Max_Temp_C,Rainfall_mm,Rolling_Rain_30d
2001-11-28,42.400001525878906,28.0,3.3,106.2
2001-11-29,42.0,26.2,12.5,118.69999999999999
2001-11-30,42.599998474121094,22.8,13.0,131.7
2001-12-03,42.20000076293945,25.8,0.0,130.7
2001-12-04,41.5,26.0,0.0,130.5
2001-12-05,42.099998474121094,26.6,0.0,120.69999999999999
2001-12-06,42.0,24.4,3.9,110.8
2001-12-07,43.0,24.3,7.5,118.3
2001-12-10,43.5,27.7,1.5,119.8
2001-12-11,43.900001525878906,27.8,0.0,119.8
2001-12-12,44.349998474121094,28.0,0.0,119.8
2001-12-13,44.150001525878906,27.1,5.8,125.6
2001-12-14,43.79999923706055,24.3,24.2,149.8
2001-12-17,46.349998474121094,25.1,6.3,154.0
2001-12-18,46.099998474121094,26.6,2.8,151.5
2001-12-19,46.900001525878906,27.5,3.6,153.3
2001-12-20,49.599998474121094,26.6,10.4,163.20000000000002
2001-12-21,46.650001525878906,25.2,7.4,170.60000000000002
2001-12-27,46.5,25.0,14.4,185.0
2001-12-28,46.20000076293945,21.8,10.6,195.5
2002-01-02,47.349998474121094,26.5,6.1,199.6
2002-01-03,47.5,27.3,1.1,192.6
2002-01-04,48.54999923706055,28.0,0.1,178.0
2002-01-07,48.25,26.8,0.6,159.7
2002-01-08,48.54999923706055,26.1,3.5,158.5
2002-01-09,50.849998474121094,26.9,0.7,149.9
2002-01-10,51.29999923706055,26.8,0.0,145.6
2002-01-11,49.54999923706055,26.4,1.7,141.0
2002-01-14,50.400001525878906,23.1,13.2,154.2
2002-01-15,50.25,26.4,4.3,158.5
2002-01-16,49.25,25.1,0.7,155.89999999999998
2002-01-17,48.849998474121094,25.8,1.0,144.39999999999998
2002-01-18,47.400001525878906,21.3,5.5,136.89999999999998
2002-01-22,46.79999923706055,28.9,5.1,142.0
2002-01-23,46.75,27.3,9.5,151.5
2002-01-24,46.45000076293945,28.3,7.6,159.1
2002-01-25,45.900001525878906,27.6,16.3,171.5
2002-01-28,45.04999923706055,29.2,5.8,169.79999999999998
2002-01-29,44.70000076293945,27.7,8.3,176.6
2002-01-30,45.150001525878906,26.9,13.6,190.2
2002-01-31,45.099998474121094,27.0,24.4,214.6
2002-02-01,45.45000076293945,25.9,16.9,225.7
2002-02-04,45.5,25.1,0.0,201.5
